Title,Released,Label
David Bowie,1-jun-1967,Deram
Space Oddity,14-nov-1969,Philips/Mercury
"Man Who Sold the World, The",4-nov-1970,Mercury
Hunky Dory,17-dec-1971,RCA
"Rise and Fall of Ziggy Stardust and the Spiders from Mars, The",16-jun-1972,RCA
Aladdin Sane,13-apr-1973,RCA
Pin Ups,19-oct-1973,RCA
Diamond Dogs,24-may-1974,RCA
Young Americans,7-mar-1975,RCA
Station to Station,23-jan-1976,RCA
Low,14-jan-1977,RCA
"'Heroes'",14-oct-1977,RCA
Lodger,18-may-1979,RCA
Scary Monsters.....and Super Creeps,12-sep-1980,RCA
"Let's Dance",14-apr-1983,EMI
Tonight,1-sep-1984,EMI America
Never Let Me Down,27-apr-1987,EMI America
Tin Machine,22-may-1989,EMI USA
Tin Machine II,2-sep-1991,London
Back Tie White Noise,5-apr-1993,Arista/BMG
1. Outside,26-sep-1995,Arista/BMG
Earthling,3-feb-1997,Arista
"'hours...'",4-oct-1999,Virgin
Heathen,11-jun-2002,ISO/Columbia
Reality,16-sep-2003,ISO/Columbia
"Next Day, The",8-mar-2013,ISO/Columbia
Blackstar,8-jan-2016,ISO/Columbia
